developer-friendly name,VARIABLE NAME
completion_rate_l4yr_150_black_pre2010,C150_L4_BLACKNH
completion_rate_l4yr_150_api_pre2010,C150_L4_API
completion_rate_l4yr_150_aian_pre2010,C150_L4_AIANOLD
completion_rate_l4yr_150_hispanic_pre2010,C150_L4_HISPOLD
completion_rate_4yr_200nt,C200_4
completion_rate_less_than_4yr_200nt,C200_L4
completion_cohort_4yr_200nt,D200_4
completion_cohort_less_than_4yr_200nt,D200_L4
retention_rate.four_year.full_time,RET_FT4
retention_rate.lt_four_year.full_time,RET_FTL4
retention_rate.four_year.part_time,RET_PT4
retention_rate.lt_four_year.part_time,RET_PTL4
completion_rate_4yr_200nt_pooled,C200_4_POOLED
completion_rate_less_than_4yr_200nt_pooled,C200_L4_POOLED
pooled_yrs_used_200,POOLYRS200
completion_cohort_4yr_200nt_pooled,D200_4_POOLED
completion_cohort_less_than_4yr_200nt_pooled,D200_L4_POOLED
federal_loan_rate,PCTFLOAN
share_25_older,UG25ABV
2_yr_default_rate,CDR2
3_yr_default_rate,CDR3
title_iv.died_by.2yrs,DEATH_YR2_RT
title_iv.completed_by.2yrs,COMP_ORIG_YR2_RT
title_iv.transf_completed_4yr_by.2yrs,COMP_4YR_TRANS_YR2_RT
title_iv.transf_completed_2yr_by.2yrs,COMP_2YR_TRANS_YR2_RT
title_iv.withdrawn_by.2yrs,WDRAW_ORIG_YR2_RT
title_iv.transf_withdrawn_4yr_by.2yrs,WDRAW_4YR_TRANS_YR2_RT
title_iv.transf_withdrawn_2yr_by.2yrs,WDRAW_2YR_TRANS_YR2_RT
title_iv.still_enrolled_by.2yrs,ENRL_ORIG_YR2_RT
title_iv.transf_still_enrolled_4yr_by.2yrs,ENRL_4YR_TRANS_YR2_RT
title_iv.transf_still_enrolled_2yr_by.2yrs,ENRL_2YR_TRANS_YR2_RT
title_iv.unknown_by.2yrs,UNKN_ORIG_YR2_RT
title_iv.transf_unknown_4yr_by.2yrs,UNKN_4YR_TRANS_YR2_RT
title_iv.transf_unknown_2yr_by.2yrs,UNKN_2YR_TRANS_YR2_RT
title_iv.low_inc.died_by.2yrs,LO_INC_DEATH_YR2_RT
title_iv.low_inc.completed_by.2yrs,LO_INC_COMP_ORIG_YR2_RT
title_iv.low_inc.transf_completed_4yr_by.2yrs,LO_INC_COMP_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_completed_2yr_by.2yrs,LO_INC_COMP_2YR_TRANS_YR2_RT
title_iv.low_inc.withdrawn_by.2yrs,LO_INC_WDRAW_ORIG_YR2_RT
title_iv.low_inc.transf_withdrawn_4yr_by.2yrs,LO_INC_WDRAW_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_withdrawn_2yr_by.2yrs,LO_INC_WDRAW_2YR_TRANS_YR2_RT
title_iv.low_inc.still_enrolled_by.2yrs,LO_INC_ENRL_ORIG_YR2_RT
title_iv.low_inc.transf_still_enrolled_4yr_by.2yrs,LO_INC_ENRL_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_still_enrolled_2yr_by.2yrs,LO_INC_ENRL_2YR_TRANS_YR2_RT
title_iv.low_inc.unknown_by.2yrs,LO_INC_UNKN_ORIG_YR2_RT
title_iv.low_inc.transf_unknown_4yr_by.2yrs,LO_INC_UNKN_4YR_TRANS_YR2_RT
title_iv.low_inc.transf_unknown_2yr_by.2yrs,LO_INC_UNKN_2YR_TRANS_YR2_RT
title_iv.mid_inc.died_by.2yrs,MD_INC_DEATH_YR2_RT
title_iv.mid_inc.completed_by.2yrs,MD_INC_COMP_ORIG_YR2_RT
title_iv.mid_inc.transf_completed_4yr_by.2yrs,MD_INC_COMP_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_completed_2yr_by.2yrs,MD_INC_COMP_2YR_TRANS_YR2_RT
title_iv.mid_inc.withdrawn_by.2yrs,MD_INC_WDRAW_ORIG_YR2_RT
title_iv.mid_inc.transf_withdrawn_4yr_by.2yrs,MD_INC_WDRAW_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_withdrawn_2yr_by.2yrs,MD_INC_WDRAW_2YR_TRANS_YR2_RT
title_iv.mid_inc.still_enrolled_by.2yrs,MD_INC_ENRL_ORIG_YR2_RT
title_iv.mid_inc.transf_still_enrolled_4yr_by.2yrs,MD_INC_ENRL_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_still_enrolled_2yr_by.2yrs,MD_INC_ENRL_2YR_TRANS_YR2_RT
title_iv.mid_inc.unknown_by.2yrs,MD_INC_UNKN_ORIG_YR2_RT
title_iv.mid_inc.transf_unknown_4yr_by.2yrs,MD_INC_UNKN_4YR_TRANS_YR2_RT
title_iv.mid_inc.transf_unknown_2yr_by.2yrs,MD_INC_UNKN_2YR_TRANS_YR2_RT
title_iv.high_inc.died_by.2yrs,HI_INC_DEATH_YR2_RT
title_iv.high_inc.completed_by.2yrs,HI_INC_COMP_ORIG_YR2_RT
title_iv.high_inc.transf_completed_4yr_by.2yrs,HI_INC_COMP_4YR_TRANS_YR2_RT
title_iv.high_inc.transf_completed_2yr_by.2yrs,HI_INC_COMP_2YR_TRANS_YR2_RT
title_iv.high_inc.withdrawn_by.2yrs,HI_INC_WDRAW_ORIG_YR2_RT
title_iv.high_inc.transf_withdrawn_4yr_by.2yrs,HI_INC_WDRAW_4YR_TRANS_YR2_RT
title_iv.high_inc.transf_withdrawn_2yr_by.2yrs,HI_INC_WDRAW_2YR_TRANS_YR2_RT
